University,Date,Statement Addressed,Statement
University of Michigan,10/9/2018,BDS,"<p>After two U-M students were denied letters of recommendation from faculty complying with an academic boycott, President Schlissel issued an excellent <a href=""https://president.umich.edu/news-communications/letters-to-the-community/letter-important-questions-around-issues-of-personal-beliefs-our-responsibilities-as-educators-and-anti-semitism/"" target=""_blank"">statement</a> which read, in part: ""Two U-M students were recently denied promised letters of recommendation for academic programs based on the personal views of two individuals with instructional responsibilities. The students were applying to study in Israel. Withholding letters of recommendation based on personal views does not meet our university’s expectations for supporting the academic aspirations of our students. Conduct that violates this expectation and harms students will not be tolerated and will be addressed with serious consequences. Such actions interfere with our students’ opportunities, violate their academic freedom and betray our university’s educational mission... As we have stated, U-M strongly opposes a boycott of Israeli academic institutions, and no school, college, department or unit at our university endorses such a boycott. Our view is that educators at a public university have an obligation to support students’ academic growth, and we expect anyone with instructional responsibilities to honor this fundamental university value. Our students deserve to be afforded all of the opportunities they have earned through their academic merit. We will work to make absolutely clear that faculty members’ personal political beliefs cannot interfere with their obligations to our students with regard to letter-writing and all other modes of academic support.""</p>"
Brown University,3/22/2019,BDS,"<p>In response to a divestment referendum that passed by the student body by a 2:1 vote, President Paxson commendably issued a <a href=""https://news.brown.edu/articles/2019/03/referendum"" target=""_blank"">statement</a> to the community that rejected this call, stating, ""I am writing in regard to a referendum conducted by the Undergraduate Council of Students that asked undergraduates if the University should 'divest all stocks, funds, endowment and other monetary instruments from companies complicit in human rights abuses in Palestine and establish a means of implementing financial transparency and student oversight of the University’s investments.'...  I am opposed to divestment from companies that conduct business in the West Bank and Gaza Strip. Brown’s endowment is not a political instrument to be used to express views on complex social and political issues, especially those over which thoughtful and intelligent people vehemently disagree. As a university, Brown’s mission is to advance knowledge and understanding through research, analysis and debate. Its role is not to take sides on contested geopolitical issues. I have been steadfast in my view that Brown should not embrace any of the planks of the BDS (Boycott, Divest, Sanctions) movement. In 2013, when a number of academic associations called for academic boycotts of Israel, I made it clear that Brown would not support academic boycotts of Israel or any other country, since doing so would inhibit the open scholarly exchange that is critical for the advancement of knowledge. The previous year, I had rejected a recommendation from Brown’s Advisory Committee on Corporate Responsibility in Investment Policies to initiate dialogue about possible divestment from companies that do business in the occupied territories, expressing the same view that the endowment is not to be used to assert views on contested social and political issues."" </p>"
Claremont Colleges - Pitzer,3/14/2019,BDS,"<p>The Pitzer College Council <a href=""https://jewishjournal.com/news/los_angeles/295241/breaking-pitzer-passes-motion-to-suspend-israel-study-abroad-program/"" target=""_blank"">voted</a> to suspend the study abroad program at the University of Haifa with a vote of 67-28, with 8 abstentions. In response, President Oliver vetoed the vote and issued a strong <a href=""https://www.pitzer.edu/president/message-to-the-pitzer-college-community-from-president-melvin-oliver/"" target=""_blank"">statement</a> that denounced academic boycotts. His statement read, in part, """"As president of Pitzer College, I have determined that I will not implement this recommendation... I have concluded that to implement the Council’s recommendation would not meet that test for the following reasons: ... The recommendation curtails the academic freedom of those students who wish to study at the University of Haifa. Among Pitzer’s core values is the promotion of intercultural understanding, much of that achieved through our vibrant study abroad program that enables our students to reach their own conclusions about some of the world’s most vexing challenges through on-the-ground, face-to-face, people-to-people experience. The recommendation runs directly counter to Pitzer’s core value of intercultural understanding... Although some claim that this is not an academic boycott of Israel, I disagree. The recommendation puts in place a form of academic boycott of Israel and, in the process, sets us on a path away from the free exchange of ideas, a direction which ultimately destroys the academy’s ability to fulfill our educational mission. I categorically oppose any form of academic boycott of any country. We cannot allow our objections to the policies of any nation’s government to become a blanket indictment of the nation itself and, by extension, its citizens... By singling out Israel, the recommendation itself is prejudiced. We do not solve one injustice by committing another. If implemented, the recommendation would unnecessarily alienate a large cross section of the College’s constituencies. The reputational harm to the College would be irreparable and as president of this institution, I cannot permit that to happen.""</p>"
Claremont Colleges - Pitzer,11/30/2018,BDS,"<p>President Oliver delivered a statement to the College Council following a faculty motion to suspend the study abroad program at the University of Haifa. His <a href=""https://www.pitzer.edu/president/president-melvin-l-olivers-comments-read-at-the-pitzer-college-council/"" target=""_blank"">statement</a> read, ""I have listened to the arguments and observations made in support of this motion and frankly, I find that they show little or no consideration for our educational objectives and mission; in fact, I find the outcome of the discussion to be a repudiation of our educational mission. To deny Pitzer students who want to study at University of Haifa the opportunity to study abroad and to enter into dialogue and promote intercultural understanding at the altar of political considerations is anathema to Pitzer’s core values.  If the suspension of the University of Haifa program becomes a reality, this will be paltry support for the cause of Palestinian rights and a major blow to the reputation and reality of Pitzer College as a scholarly institution committed to its stated values of intercultural understanding and the ability of students to pursue their vision of educational engagement. This is inconsistent with Pitzer’s core values and certainly not consistent with what a Pitzer education is all about.... The faculty’s action has already caused Pitzer College substantial and unnecessary damage by creating the impression that Pitzer is an illiberal place where its supposed core value of intercultural understanding is sacrificed on the altar of narrow and selectively applied political interests. If the motion is enacted, the damage will be much worse still. We will foolishly alienate a large percentage of our Jewish and non-Jewish constituents who see this very polarizing issue differently from the stance expressed in the faculty motion. Who are these constituents? Current and prospective students and their families; current, former, and prospective faculty and staff; alumni; trustees; and friends of the College. We do not have the luxury of isolating ourselves and alienating our friends. No one does. This decision has consequences; consequences that will over time limit our reach, adversely affect our ability to implement our academic goals such as research funding and innovative academic programming, and create a misleading impression of our campus community and alumni."" </p>"
Cornell University,3/1/2019,BDS,"<p>In response to a SJP letter to President Pollack that asked for the university to divest, President Pollack <a href=""https://www.jns.org/cornell-president-rejects-bds-refuting-student-groups-push-to-divest-from-israel/"" target=""_blank"">responded</a> with a strong statement denouncing BDS. Her letter <a href=""https://legalinsurrection.com/2019/02/cornell-president-to-students-for-justice-in-palestine-i-must-reject-your-call-for-bds-related-divestment/"" target=""_blank"">stated</a>, ""I must reject your call for BDS-related divestment... Given that your letter shares your broader perspective on the BDS movement, I must also take this opportunity to share mine, which is a strong opposition to BDS. BDS unfairly singles out one country in the world for sanction when there are many countries around the world whose governments’ policies may be viewed as controversial. Moreover, it places all of the responsibility for an extraordinarily complex geopolitical situation on just one country and frequently conflates the policies of the Israeli government with the very right of Israel to exist as a nation, which I find particularly troublesome. And, although not mentioned in your petition, the BDS movement, consistent with its name, calls for boycott, including academic boycott, which is at odds with Cornell’s core commitment to academic freedom and the open exchange of ideas.""</p>"
University of California System,12/11/2018,BDS,"<p>All 10 UC Chancellors signed a <a href=""https://amchainitiative.org/wp-content/uploads/2018/12/UC-Chancellors-statement-on-Israeli-academic-boycott-Dec-2018.pdf"" target=""_blank"">statement</a> denouncing the implementation of an academic boycott of Israel stating, ""As chancellors of the University of California campuses, we write to reaffirm our long- standing opposition to an academic boycott of Israeli academic institutions and/or individual scholars. Our commitment to continued engagement and partnership with Israeli, as well as Palestinian colleagues, colleges, and universities is unwavering. We believe a boycott of this sort poses a direct and serious threat to the academic freedom of our students and faculty, as well as the unfettered exchange of ideas and perspectives on our campuses, including debate and discourse regarding conflicts in the Middle East.""</p>"
Yeshiva University,8/13/2016,BDS,"<p>Yeshiva University President, Richard M. Joel –  “As an educator and university president, I see a profound contradiction between the boycott, divestment and sanctions, or B.D.S., movement and the mission of higher education. B.D.S. paints in deceptively broad strokes an issue that is deeply complex. It condemns the entire nation of Israel and shuns all of its considerable human and material capital, including academics, regardless of political orientation, and technology, regardless of positive utility. The effects of this movement are far-reaching. Disturbing evidence shows that it has become a convenient excuse to delegitimize or malign Jewish identity on several college campuses, and Jewish students have become targets of anti-Semitic slurs, graffiti and hate speech by fellow students and, in some shocking incidents, by faculty members. This trend must be confronted. One of our primary jobs as educators is to ensure the safety and well-being of our students. To do so, colleges and universities must think and act seriously about cultivating and promoting civility on our campuses and make clear that free, meaningful expression can survive only in an environment where there are appropriate rules of engagement. It will not tamp down the crucial exchange of ideas. It will make this exchange more dignified, more meaningful and even more productive. Free speech for all has to <a href=""http://www.nytimes.com/2016/08/14/opinion/sunday/a-mideast-rift-in-college.html?_r=0"">ensure safe speech for all</a>.”</p>"
University of Minnesota Twin Cities,3/8/2016,BDS,"<p>University of Minnesota President, Eric W. Kaler – “The University does not endorse measures advocated in the SJP resolution, which has been offered in support of the Boycott Divestment Sanctions (BDS) movement. The BDS Movement, while not directly mentioned in the resolution, has called for a comprehensive academic, cultural, economic and consumer boycott of Israel. In general, our university should be wary about such boycotts, given our core values of academic freedom and our commitment to the free exchange of ideas, uncertainty about the impact of such efforts, and concerns that we may be unfairly singling out one government and the citizens of the country in question. In this case, my concerns are heightened by the fact that the Global BDS movement does not seem to distinguish between opposition to the policies of the government of Israel and opposition to the existence of Israel.”</p>"
University of California System,1/1/2010,BDS,"<p>In a 2010 <a href=""http://archive.adl.org/main_israel/uc_california_statement_divestment.html#.VnrjpflViko"">statement</a> firmly rejecting the notion that the University of California would divest from Israel or companies doing business with Israel, UC President Mark Yudof and Board of Regents Chair Russell Gould and Vice Chair Sherry Lansing stated: “This isolation of Israel among all the countries in the world greatly disturbs us and is of grave concern to members of the Jewish community.”</p>"
University of California Santa Cruz,11/1/2015,BDS,"<p>In a November 2015 <a href=""http://news.ucsc.edu/2015/11/campus-civility.html"">statement</a> following a contentious divestment vote on his campus, UC Santa Cruz Chancellor George Blumenthal expressed his fear that the resolution ""will have a chilling effect on individuals within our campus community” and that its passage ""may create an environment in which some of our Jewish students feel alienated and less welcome on our campus.”</p>"
Stanford University,2/1/2015,BDS,"<p>Stanford University President John Hennessy issued a <a href=""http://news.stanford.edu/news/2015/february/hennessy-senate-statement-021915.html"">statement</a> in February 2015 following the Stanford student senate’s passage of an anti-Israel divestment resolution, in which he said that in his 15 years as President and more than 30 years as a faculty member he had “never seen a topic that has been more divisive within the university community,” and he warned that “an atmosphere of intimidation or vitriol endangers our ability to operate as an intellectual community.”</p>"
Portland State University,6/1/2016,BDS,"Prior to a BDS vote by the student government in June 2016, President Wim Weivel <a href=""https://voxprez.com/2016/06/02/divestment-proposal-is-divisive-ill-informed/"">sent a message</a> to the campus community that called the BDS resolution ""divisive and ill-informed."" He further stated, ""The tone and tenor of the BDS movement has made members of our community feel unsafe and unwelcome at PSU, and it is not acceptable to marginalize or scapegoat them. Anti-Semitism cannot and will not be tolerated on our campus."""
Loyola University Chicago,5/1/2015,BDS,"<p>Following the passage of an anti-Israel divestment resolution in Loyola University's student government in April 2015, University President Father Michael Garanzini sent a <a href=""http://www.jta.org/2015/04/03/news-opinion/united-states/loyola-u-president-university-will-not-address-divestment-from-israel-issue"">letter</a> to the campus community condemning the resolution for being divisive and saying that it “pits student against student.”</p>"
Harvard University,1/1/2015,BDS,"<p>When he was President of Harvard University, Lawrence Summers labeled anti-Israel divestment initiatives on his campus “anti-Semitic in effect if not intent.” More <a href=""http://larrysummers.com/wp-content/uploads/2015/01/AcademicFreedomAndAntiSemitism_FINAL1-2.pdf"">recently</a> in January 2015, he suggested that “failure of American academic leaders to aggressively take on the challenge posed by the Boycott, Divestment, Sanction movement represents a consequential abdication of moral responsibility.""</p>"
University of California System,8/5/2016,BDS,"<p>In advance of the American Anthropological Association academic boycott vote, University of California President and each of the 9 Chancellors signed a <a href=""http://ucsdguardian.org/2016/05/08/uc-president-denounces-academic-boycott-vote/"">statement</a> which expressed that, “The University of California believes that an academic boycott is an inappropriate response to a foreign policy issue and one that threatens academic freedom and sets a damaging precedent for academia. We urge Association members to consider the boycott’s potentially harmful impacts and oppose this resolution.”</p>"
CSU Long Beach,4/25/2017,BDS,"<p>President Jane Conoley (who was Chancellor during the divestment vote at UC Riverside previously) - “Adoption of this [divestment] resolution may lead to an increase in anti-Semitic vandalism on campus as it has on other college campuses when similar resolutions were passed. Even during our local debate, anti-Jewish vandalism has increased at Long Beach State. This increase has frightened our Jewish students and concerned all community members devoted to social justice and the safety of minority populations….My intent in mentioning other countries was to ask the question, ‘Why the Jews?’ There’s a case to be made that even in the USA we have witnessed gross violations of human rights, voting rights and educational rights to name a few. Why not mention other countries in addition to Israel?... Passing the resolution is unlikely to have an impact on the situation in the Middle East and will more likely send a negative message to Jewish students that does not promote inclusion.”</p>"
University of Michigan,12/14/2017,BDS,"<p>“After careful consideration of this resolution, we decline to do so. More broadly, we strongly oppose any action involving the boycott, divestment or sanction of Israel...Most importantly, our university has long been a community that seeks to study and improve the human condition through our research and scholarship. We work together to better understand the most complex challenges we face on campus and beyond. We do this work through active engagement in the world around us. To boycott, divest or sanction Israel offends these bedrock values of our great university.”</p>"
University of Illinois Urbana Champaign,2/16/2018,BDS,<p>“I would remind you that the campus and the entire university system are on record in opposition to any of Israeli academic institutions and have opposed divestment measures in the past.”</p>
University of Minnesota Twin Cities,3/7/2018,BDS,"<p>President Kaler released a statement recognizing the negative effects of BDS for Jewish students stating, “With full deference to the rights of our students to participate in the democratic process, I will have no comment on the elections until the results of the voting are known. However, the inclusion on the ballot of a non-binding referendum that names Israel is exacerbating tension and fueling discrimination toward Jewish students. My <a href=""https://president.umn.edu/content/statement-todays-msa-resolutions-0"">statement</a> of two years ago is as relevant today as it was then: ‘Our University strongly and unequivocally condemns prejudice and hostility toward Jews, as we condemn bias against any groups.’""</p>"
University of Illinois System,3/15/2018,BDS,"<p>Following a BDS vote at UIUC, University of Illinois System President Tim Killeen issued a <a href=""https://www.uillinois.edu/cms/One.aspx?portalId=1324&amp;pageId=907372"">statement</a> to the community that said, “In alignment with the American Association of Public and Land-grant Universities and many other distinguished higher education institutions, the University of Illinois System leadership stands in strong opposition to the Boycott, Divestment and Sanction (BDS) movement’s call for a boycott of Israel. While we acknowledge and affirm the rights of faculty and students to express their own viewpoints, we believe that actions such as those espoused by BDS would damage academic freedom and may have an intended or unintended anti-Semitic effect which we utterly condemn. We will continue to strenuously oppose actions that go beyond protected speech and that seek to harass, delegitimize, alienate and spread fear within our student communities on the basis of religion – whether our Jewish and Muslim student bodies or any other religious student community. To reiterate: we will NOT tolerate pervasive harassment or discrimination on the basis of religious affiliation or any other personal factors or characteristics. Such activities are inimical to the values that our system embraces…Our commitment to social justice and to excellence in free, open and engaged scholarship drives us to study, understand and help build solutions for even the most complex challenges we face globally and domestically. To that end, we welcome and embrace ALL of our students.”</p>"
New York University,4/20/2018,BDS,"<p>During a public town hall, President Hamilton <a href=""https://nyulocal.com/nyu-pres-hamilton-talks-global-network-bds-and-divest-at-town-hall-be8b160fa3a3"">was asked</a> about a BDS resolution, which was supported by 50 organizations, and called for an academic boycott. He responded by saying he opposes BDS and is “quite frankly” distressed by the statement 50 student groups made. He further <a href=""https://www.nyunews.com/2018/04/19/4-20-news-townhall/"">clarified</a>, “We believe the university exist to bring people together not to separate them. For this reason, I am opposed to BDS. The university will not participate in the boycotting of academics based in Israel. We believe in academic freedom and the free flow of ideas. Boycotting is antithetical to that position.”</p>"
George Washington University,4/24/2018,BDS,"<p>George Washington University President LeBlanc – Following a BDS vote, President LeBlanc issued a <a href=""https://gwtoday.gwu.edu/message-president-leblanc-student-association-resolution"">statement</a> that said, “Last night, the university’s student senate passed a resolution calling for divestment from certain companies because they do business with Israel. While I support the student senate’s right to express their views in the form of a resolution, I want to be clear to our university community that this does not represent the university’s views and the university will not implement such a proposal. Our university is home to many people who are deeply engaged on the issues inherent to this conflict. We have hosted a range of programming, representing a wide variety of viewpoints and ideas. The university prioritizes the safety and security of all our students and our campus community. I encourage the GW community to foster an inclusive environment and to continue to engage in open, respectful dialogue.”</p>"
University of Oregon,5/24/2018,BDS,"<p>President Schill <a href=""https://president.uoregon.edu/statement-student-government-bds-resolution"">statement</a> following the passage of a BDS resolution, “The Associated Students of the University of Oregon recently approved a resolution in which they endorsed the boycott, divest, sanction (BDS) movement against Israel and resolved to prohibit the purchase of products from certain firms because of those companies’ presumed connections to Israel…I would also like to acknowledge that the ASUO didn’t go so far as to adopt the tactics of the BDS movement with respect to boycotts of intellectual interchange between Israel and other nations. Not allowing the free interchange of scholars would harm the very mission of our university and interfere with academic freedom…Regardless of the relative merits of the Palestinian Authority and the State of Israel, it is important that all of us make every effort we can to avoid dividing our community along the lines of ideology, religion or national origin. To many Jewish people, myself included, the BDS movement not only seeks to criticize the policies of the current Israeli government, but also calls into question the very right of the State of the Israel to exist. As ASUO considers future legislative actions on behalf of the student body, I hope our student leaders will seek ways to band together in support of our common humanity.”</p>"
